HPSI0714i-quvs_5	quvs_5	SAMEA4340449
HPSI0614i-tijm_1	tijm_1	SAMEA4339491
HPSI0514i-matx_2	matx_2	SAMEA3854058
HPSI0413pf-xisg	xisg	SAMEA2398226
HPSI0614i-seta_6	seta_6	SAMEA3968769
HPSI0614i-tauq_1	tauq_1	SAMEA3968765
HPSI0513i-copb_2	copb_2	SAMEA2398155
HPSI0713pf-ruyl	ruyl	SAMEA2399124
HPSI0713pf-fett	fett	SAMEA2398353
HPSI0413pf-nudd	nudd	SAMEA2398293
HPSI0514i-souj_9	souj_9	SAMEA4340468
HPSI0513pf-aipt	aipt	SAMEA2398757
HPSI0813pf-piun	piun	SAMEA2398808
HPSI0613pf-xavk	xavk	SAMEA2398774
HPSI0813pf-iicq	iicq	SAMEA2398056
HPSI0513pf-veqz	veqz	SAMEA2398845
HPSI0613pf-focm	focm	SAMEA2398806
HPSI0613pf-funp	funp	SAMEA2398236
HPSI1014i-wubu_6	wubu_6	SAMEA4448495
HPSI0514i-yafr_3	yafr_3	SAMEA4451652
HPSI0316i-aolj_4	aolj_4	SAMEA4453775
HPSI0813pf-eiqh	eiqh	SAMEA2398603
HPSI0614i-aeaa_3	aeaa_3	SAMEA3854222
HPSI0514i-xefl_1	xefl_1	SAMEA4084239
HPSI0514i-xefl_6	xefl_6	SAMEA4084235
HPSI0513pf-dovq	dovq	SAMEA2398819
HPSI0614i-seta_1	seta_1	SAMEA3968777
HPSI0814i-sono_1	sono_1	SAMEA3854131
HPSI0814i-hoih_2	hoih_2	SAMEA3849800
HPSI0614i-curn_5	curn_5	SAMEA3853124
HPSI0714i-diyb_3	diyb_3	SAMEA3470398
HPSI0513pf-bicb	bicb	SAMEA2399108
HPSI0814i-oesm_1	oesm_1	SAMEA3466480
HPSI0814i-sono_6	sono_6	SAMEA3854303
HPSI0513i-oapi_2	oapi_2	SAMEA2398708
HPSI0613pf-bohf	bohf	SAMEA2398214
HPSI0613pf-uexy	uexy	SAMEA2398620
HPSI1013i-iaep_1	iaep_1	SAMEA3755282
HPSI1013i-govo_3	govo_3	SAMEA2649529
HPSI0813i-taea_5	taea_5	SAMEA4448526
HPSI1014i-wubu_1	wubu_1	SAMEA4448504
HPSI0813i-sumu_2	sumu_2	SAMEA4448215
HPSI0813er-fpdk	fpdk	SAMEA2398354
HPSI0614i-tijm_6	tijm_6	SAMEA4339487
HPSI0614i-tijm_12	tijm_12	SAMEA4342130
HPSI0613pf-xucm	xucm	SAMEA2398903
HPSI0713pf-uimo	uimo	SAMEA2398524
HPSI0713pf-ruyv	ruyv	SAMEA2398945
HPSI0913pf-ruql	ruql	SAMEA2399231
HPSI0213pf-nawk	nawk	SAMEA2398989
HPSI0413pf-peop	peop	SAMEA2398667
HPSI0413pf-coxy	coxy	SAMEA2398863
HPSI0813pf-wots	wots	SAMEA2398368
HPSI0313pf-airc	airc	SAMEA2398640
HPSI0514i-souj_4	souj_4	SAMEA4340436
HPSI0316i-zuik_1	zuik_1	SAMEA4453767
HPSI0316i-zuik_6	zuik_6	SAMEA4453772
HPSI0316i-pecz_4	pecz_4	SAMEA4453734
HPSI0416i-ioys_3	ioys_3	SAMEA4562174
HPSI0416i-iazw_4	iazw_4	SAMEA4563372
HPSI0115i-hoaa_1	hoaa_1	SAMEA4564801
HPSI0714i-tosj_4	tosj_4	SAMEA7417168
HPSI0616i-xiuq_4	xiuq_4	SAMEA8008168
HPSI0616i-nuka_6	nuka_6	SAMEA8003668
HPSI0616i-newl_4	newl_4	SAMEA17513668
HPSI0616i-nuka_1	nuka_1	SAMEA8005168
HPSI0114pf-veui	veui	SAMEA2398387
HPSI1013pf-aetc	aetc	SAMEA2399230
HPSI0616i-newl_9	newl_9	SAMEA17605918
HPSI0314i-uict_1	uict_1	SAMEA103885511
HPSI0414i-lomh_4	lomh_4	SAMEA4451661
