HG00119		SAME125348
HG00121		SAME122873
HG00126		SAME122872
HG00133		SAME123062
HG00138		SAME123059
HG00140		SAME124396
HG00145		SAME124391
HG00102		SAME123945
HG00107		SAME123947
HG00114		SAME125343
HG00099		SAME123271
HG00152		SAME124593
HG00157		SAME124590
HG00171		SAME124961
HG00284		SAME122835
HG00304		SAME1840118
HG00309		SAME124160
HG00311		SAME124339
HG00265		SAME123579
HG00272		SAME123420
HG00277		SAME123423
HG00176		SAME124956
HG00183		SAME123642
HG00188		SAME123641
HG00190		SAME123856
HG00234		SAME124123
HG00239		SAME124130
HG00246		SAME123219
HG00359		SAME125127
HG00361		SAME124538
HG00366		SAME124541
HG00253		SAME123051
HG00258		SAME123057
HG00260		SAME123582
HG00323		SAME123795
HG00328		SAME123799
HG00330		SAME123985
HG00335		SAME123982
HG00342		SAME124924
HG00513		SAME123526
HG00525		SAME123242
HG00532		SAME125268
HG00537		SAME124345
HG00544		SAME124086
HG00551		SAME124252
HG00556		SAME123971
HG00474		SAME123343
HG00479		SAME123334
HG00501		SAME123362
HG00373		SAME124749
HG00378		SAME124745
HG00380		SAME123031
HG00405		SAME123159
HG00619		SAME125193
HG00621		SAME123082
HG00626		SAME123078
HG00633		SAME1839144
HG00436		SAME125262
HG00443		SAME124920
HG00448		SAME124200
HG00450		SAME125167
HG00599		SAME1839802
HG00607		SAME125373
HG00614		SAME125195
HG00582		SAME124830
HG00594		SAME125005
HG00429		SAME122812
HG00638		SAME123652
HG00640		SAME123434
HG00652		SAME123252
HG00657		SAME123255
HG00664		SAME123814
HG00671		SAME123604
HG00676		SAME1840071
HG00683		SAME123892
HG00690		SAME123686
HG01028		SAME123524
HG01047		SAME123166
HG01054		SAME123663
HG01097		SAME122924
HG01100		SAME123676
HG01105		SAME123673
HG00703		SAME122933
HG00708		SAME122940
HG01080		SAME125333
HG01085		SAME125391
HG01092		SAME1839489
HG01061		SAME122821
HG01066		SAME124294
HG01073		SAME124095
HG00741		SAME124833
HG00866		SAME123549
HG00734		SAME123016
HG00739		SAME125113
HG01148		SAME124424
HG01150		SAME124216
HG01162		SAME1839707
HG01167		SAME124798
HG01112		SAME123485
HG01124		SAME124053
HG01131		SAME1839985
HG01136		SAME123889
HG01357		SAME124681
HG01364		SAME1839152
HG01369		SAME1839124
HG01376		SAME124289
HG01249		SAME125057
HG01251		SAME125282
HG01256		SAME125287
HG01198		SAME125228
HG01206		SAME124295
HG01345		SAME124863
HG01352		SAME124686
HG01302		SAME1840038
HG01326		SAME1839598
HG01275		SAME123002
HG01174		SAME124619
HG01573		SAME124347
HG01578		SAME124351
HG01597		SAME125226
HG01600		SAME123456
HG01484		SAME1839960
HG01489		SAME123972
HG01491		SAME124140
HG01496		SAME124133
HG01383		SAME122971
HG01390		SAME122805
HG01395		SAME1840207
HG01403		SAME1839867
HG01415		SAME1839705
HG01439		SAME124972
HG01530		SAME125137
HG01566		SAME124564
HG01516		SAME124773
HG01523		SAME125322
HG01528		SAME125329
HG01504		SAME124945
HG01509		SAME124940
HG01511		SAME124770
HG01441		SAME123236
HG01453		SAME1839159
HG01465		SAME122882
HG01477		SAME1840183
HG01617		SAME123630
HG01624		SAME123840
HG01629		SAME123836
HG01631		SAME124035
HG01763		SAME124812
HG01768		SAME1839665
HG01770		SAME124638
HG01775		SAME124633
HG01667		SAME123116
HG01674		SAME123286
HG01679		SAME123293
HG01681		SAME124655
HG01782		SAME124426
HG01787		SAME1839306
HG01794		SAME124218
HG01686		SAME124658
HG01698		SAME1839214
HG01701		SAME123262
HG01706		SAME123263
HG01756		SAME124988
HG01605		SAME123459
HG01612		SAME123625
HG01840		SAME123552
HG01845		SAME123555
HG01852		SAME123750
HG01799		SAME124227
HG01802		SAME124307
HG01807		SAME124303
HG02014		SAME123448
HG02019		SAME123450
HG02021		SAME125171
HG02026		SAME125315
HG01958		SAME1839349
HG01960		SAME1839076
HG01965		SAME1839145
HG01972		SAME124329
HG01939		SAME123592
HG01941		SAME124149
HG01946		SAME124154
HG01953		SAME123974
HG01977		SAME124324
HG01984		SAME1840105
HG01989		SAME1840166
HG01871		SAME123398
HG01883		SAME122848
HG01888		SAME122852
HG01922		SAME123787
HG01927		SAME123784
HG01934		SAME123589
HG01890		SAME123028
HG01895		SAME1840349
HG01915		SAME1839757
HG01991		SAME124743
HG02002		SAME123618
HG01857		SAME123748
HG01864		SAME123197
HG01869		SAME123192
HG02083		SAME124962
HG02088		SAME124820
HG02090		SAME124651
HG02095		SAME1839064
HG02057		SAME124146
HG02064		SAME1839658
HG02069		SAME123375
HG02071		SAME123102
HG02076		SAME124913
HG02146		SAME1839613
HG02153		SAME124791
HG02165		SAME124208
HG02254		SAME1839344
HG02259		SAME1839319
HG02261		SAME1839134
HG02108		SAME1840201
HG02122		SAME123478
HG02127		SAME123476
HG02134		SAME1839875
HG02139		SAME123660
HG02141		SAME124611
HG02223		SAME1839584
HG02230		SAME1839383
HG02235		SAME123521
HG02040		SAME1839803
HG02052		SAME1839545
HG02184		SAME123216
HG02189		SAME125040
HG02266		SAME1839110
HG02273		SAME1840309
HG02278		SAME1840367
HG02280		SAME1840096
HG02367		SAME1840113
HG02374		SAME1840247
HG02379		SAME1840217
HG02381		SAME1840033
HG02386		SAME1840001
HG02285		SAME122914
HG02292		SAME1839943
HG02300		SAME1839856
HG02451		SAME1840138
HG02463		SAME1839983
HG02470		SAME1839744
HG02420		SAME1839320
HG02425		SAME1839043
HG02449		SAME1840404
HG02312		SAME1839684
HG02317		SAME1839656
HG02343		SAME1839091
HG02348		SAME1839063
HG02355		SAME1840269
HG02494		SAME1839698
HG02398		SAME1839845
HG02401		SAME1839415
HG02406		SAME1839394
HG02704		SAME1840134
HG02716		SAME1839981
HG02723		SAME1839742
HG02728		SAME1839722
HG02502		SAME1839272
HG02514		SAME1839133
HG02521		SAME1840327
HG02526		SAME1840308
HG02595		SAME1839204
HG02603		SAME1840287
HG02610		SAME1840405
HG02684		SAME1839292
HG02689		SAME1839355
HG02691		SAME1839084
HG02696		SAME1839149
HG02646		SAME1839770
HG02653		SAME1839537
HG02658		SAME1839597
HG02660		SAME1839672
HG02677		SAME1839483
HG02571		SAME1839577
HG02583		SAME1839429
HG02588		SAME1839404
HG02590		SAME1839222
HG02545		SAME1839939
HG02557		SAME1840061
HG02569		SAME1839892
HG02615		SAME1840380
HG02622		SAME1840185
HG02634		SAME1840031
HG02773		SAME1839034
HG02778		SAME1839100
HG02780		SAME1839169
HG02785		SAME1840298
HG02735		SAME1839866
HG02759		SAME1839445
HG02761		SAME1839262
HG02982		SAME1840015
HG03012		SAME1839924
HG03017		SAME1839956
HG02792		SAME1840416
HG02800		SAME1840000
HG02805		SAME1840081
HG02879		SAME1840355
HG02881		SAME1840178
HG02886		SAME1840151
HG02812		SAME1839846
HG02817		SAME1839819
